# sources: Supplemental_Appendix_II.csv; murine_repro_pheno_data.csv; Murinae Locomotory Checklist - Murinae Locomotory Checklist.csv
species,sample,Locomotor_State,Adult_Mass(g),Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,RTM (%),Head length (um),Head width (um),Head area (um�),Apical hook length (um),Apical hook angle (�),Ventral process length (um),Ventral process angle (�),Midpiece length (um),Principal and end piece length (um),Tail length (um),# hooks/ventral processes,Geographic Region
Notomys_cervinus,Notomys_cervinus_M22857,Terrestrial,42.395,260,110,150,36,0.576923077,1.363636364,0.8,5.6,2.7,NA,8.4,303,6.1,301,26,79,103.7+-1.1,NA,Australia
Notomys_mitchellii,Notomys_mitchellii_M21518,Terrestrial,50,280,125,155,37,0.553571429,1.24,0.2,5.5,2.1,NA,6.2,303,4,298,25,83,85.8+-3.6 (104.1+-4.7?),NA,Australia
Notomys_fuscus,Notomys_fuscus_M22830,Terrestrial,37.14,228,106.5,121.5,33.3,0.532894737,1.14084507,0.2,6.5,4.1,NA,4.4,262,2.5,270,26,70,98.6+-7.9,NA,Australia;Queensland
Notomys_aquilo,Notomys_aquilo_M-32455,Terrestrial,41.495,285,112,173,40,0.607017544,1.544642857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Notomys_alexis,Notomys_alexis_U1308,Terrestrial,50,255,115,140,36,0.549019608,1.217391304,0.1,5.6,3.5,NA,2,218,0.9,204,26,80,102.7+-2.8,NA,Australia
Pseudomys_occidentalis,Pseudomys_occidentalis_ABTC08043,Terrestrial,45,218,89,129,27,0.591743119,1.449438202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Pseudomys_fumeus,Pseudomys_fumeus_ABTC08168,Terrestrial,80,270,120,150,29,0.555555556,1.25,3.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia;Victoria;subfossil remains from New South Wales
Pseudomys_albocinereus,Pseudomys_albocinereus_WAMM18855,Terrestrial,32.75,215,105,110,25,0.511627907,1.047619048,1.3,4.9,2.4,NA,5.7,297,3.5,294,22,93,NA,NA,Australia
Pseudomys_apodemoides,Pseudomys_apodemoides_M16672,Terrestrial,17,200,90,110,23,0.55,1.222222222,0.7,5,2.6,NA,6.2,304,4.2,298,22,90,110.0+-2.7,NA,Australia
Pseudomys_gracilicaudatus,Pseudomys_gracilicaudatus_ABTC08163,Terrestrial,90,240,130,110,28,0.458333333,0.846153846,1,7.7,3.8,NA,9.6,334,6.4,314,23,105,127.8+-2.5,NA,Australia
Pseudomys_nanus,Pseudomys_nanus_U1448,Terrestrial,52.19,207,107,100,25,0.483091787,0.934579439,2.6,6,2.9,NA,8.3,318,5.4,306,23,89,113.5+-8.7,NA,Australia
Pseudomys_oralis,Pseudomys_oralis_RAT7,Terrestrial,95,270,140,130,34,0.481481481,0.928571429,3,6.4,2.7,NA,8.3,322,5.2,307,22,94,NA,NA,Australia
Pseudomys_desertor,Pseudomys_desertor_ABTC41464,Terrestrial,30,190,100,90,22,0.473684211,0.9,1.4,6,3.3,NA,9.3,308,7.3,305,22,88,110.4+-2.8,NA,Australia
Pseudomys_shortridgei,Pseudomys_shortridgei_Z25113,Terrestrial,65,245,140,105,28,0.428571429,0.75,0.4,5.1,3.3,NA,0,NA,0,NA,22,67,88.6+-6.7,NA,Australia
Pseudomys_australis,Pseudomys_australis_M25541,Terrestrial,75,260,140,120,30,0.461538462,0.857142857,2,5.2,2.4,NA,8.8,304,6.9,301,22,95,118.8+-3.1,NA,Australia
Mastacomys_fuscus,Mastacomys_fuscus_M13957,Terrestrial,125.36,270,161.7,108.3,34,0.401111111,0.669758813,3.2,6.7,3.1,NA,9.2,328,7.2,327,22,86,108.0+-2.9,NA,Australia;New South Wales;Victoria;Tasmania
Pseudomys_higginsi,Pseudomys_higginsi_UC1421,Terrestrial,65.08,295,133,162,35,0.549152542,1.218045113,1.7,4.7,2.6,NA,7.7,305,6.4,304,20,91,NA,NA,Australia;Tasmania
Pseudomys_hermannsburgensis,Pseudomys_hermannsburgensis_ABTC08067,Terrestrial,13.94,155,75,80,19,0.516129032,1.066666667,1.5,5.3,2.6,NA,8.3,304,5.5,292,23,92,NA,NA,Australia
Pseudomys_delicatulus,Pseudomys_delicatulus_U1509,Terrestrial,11.78,155,75,80,18,0.516129032,1.066666667,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2+-4.4,NA,New Guinea;Australia
Pseudomys_bolami,Pseudomys_bolami_ABTC107389,Terrestrial,15.75,183,80,103,NA,0.56284153,1.2875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Australia
Pseudomys_novaehollandiae,Pseudomys_novaehollandiae_ABTC08140,Terrestrial,19.9,195,90,105,22,0.538461538,1.166666667,0.4,4.5,3.3,NA,4.5,274,0,NA,21,77,NA,NA,Australia
Vandeleuria_oleracea,Vandeleuria_oleracea_ABTC116404,Arboreal,13.3,186.3,75,111.3,17.8,0.59742351,1.484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Thailand;Vietnam;Myanmar;Cambodia;India;Sri Lanka;Nepal;China;Laos
Pithecheir_melanurus,Pithecheir_melanurus_LSUMZ38198,Arboreal,108,369,167.5,201.5,30,0.546070461,1.202985075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Java;Malay Peninsula;Sumatra 
Otomys_tropicalis,Otomys_tropicalis_LSUMZ37841,Terrestrial,111.3,259.5,178,81.5,28.7,0.314065511,0.457865169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Otomys_denti,Otomys_denti_LSUMZ37840,General,140,267,162.5,104.5,28.8,0.391385768,0.643076923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Oenomys_hypoxanthus,Oenomys_hypoxanthus_LSUMZ37838,General,88.42,330.1,158.8,171.3,32,0.518933656,1.078715365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Hybomys_planifrons,Hybomys_planifrons_R24117,Terrestrial,50.3,221,124,97,30.6,0.438914027,0.782258065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Hybomys_univittatus,Hybomys_univittatus_TCD4026,Terrestrial,52.43,224.7,121.4,103.3,27.9,0.459724077,0.850906096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Hybomys_lunaris,Hybomys_lunaris_LSUMZ37734,Terrestrial,54.1,223,108,115,25,0.515695067,1.064814815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Stochomys_longicaudatus,Stochomys_longicaudatus_MNHN1999459,General,73.475,356.6,145.1,211.5,29.3,0.593101514,1.457615438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Dephomys_defua,Dephomys_defua_MNHNR24062,Arboreal,45.025,320.9,126.3,194.6,26.5,0.606419445,1.54077593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Micaelemys_namaquensis,Micaelemys_namaquensis_MNHN1987009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aethomys_hindei,Aethomys_hindei_MVZ196257,Terrestrial,149.075,314,158,156,32,0.496815287,0.987341772,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.4+-2.0,NA,Africa
Aethomys_nyikae,Aethomys_nyikae_FMNH196708,Terrestrial,90.2,309.2,143.4,165.8,28.6,0.53622251,1.156206416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Thallomys_paedulcus,Thallomys_paedulcus_FMNH158089,Arboreal,75,306.5,140.3,166.2,25.3,0.542251223,1.184604419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Grammomys_dryas,Grammomys_dryas_LSUMZ37716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Thamnomys_venustus,Thamnomys_venustus_LSUMZ37935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
Thamnomys_kempi,Thamnomys_kempi_TCD4437,Arboreal,79.5,357,155,202,29.3,0.565826331,1.303225806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Africa
