Species,Locomotor_State,"Adult_Mass(g)",Total_Length(mm),Head-Body_Length(mm),Tail_Length(mm),Hind_Foot_Length(mm),Relative_Tail_Length,Relative_Hind_Foot_Length,Source (Author; Title; Year),,,,,,,,,,,
Haeromys_minahassae,Arboreal,14.7,182,72,110,20,0.604395604,1.527777778,"Musser 1990, Wilman et al 2014 ",,,,,,,,,,,
Halmaheramys_bokimekot,Terrestrial,89.7,275,149,126,29.6,0.458181818,0.845637584,Fabre et al 2013,,,,,,,,,,,
Hapalomys_delacouri,Arboreal,64.3,279.5,129.5,150,23,0.53667263,1.158301158,"Nowak 1991,  Smith and Xie 2013, Wilman et al 2014",,,,,,,,,,,
Heimyscus_fumosus,Terrestrial,15.75,181.3,76.8,104.5,17.5,0.576392719,1.360677083,Kingdon et al 2013,,,,,,,,,,,
Hybomys_badius,Terrestrial,63.7,236.7,122.4,114.3,29.3,0.482889734,0.933823529,Kingdon et al 2013,,,,,,,,,,,
Hybomys_lunaris,Terrestrial,54.1,223,108,115,25,0.515695067,1.064814815,"Kingdon et al 2013, Huhndorf et al. 2007, Wilman et al 2014",,,,,,,,,,,
Hybomys_planifrons,Terrestrial,50.3,221,124,97,30.6,0.438914027,0.782258065,Kingdon et al 2013,,,,,,,,,,,
Hybomys_trivirgatus,Terrestrial,58.04,224,124,100,31.8,0.446428571,0.806451613,Kingdon et al 2013,,,,,,,,,,,
Hybomys_univittatus,Terrestrial,52.43,224.7,121.4,103.3,27.9,0.459724077,0.850906096,Kingdon et al 2013,,,,,,,,,,,
Hydromys_neobritannicus,Amphibious,141.87,577,288,289,60,0.500866551,1.003472222,"Flannery 1995b, Wilman et al 2014",,,,,,,,,,,
Hylomyscus_aeta,Arboreal,24.415,232.6,95.7,136.9,21.4,0.588564058,1.430512017,Kingdon et al 2013,,,,,,,,,,,
Hylomyscus_alleni,General,19.57,214.9,83.6,131.3,19.8,0.610981852,1.570574163,Kingdon et al 2013,,,,,,,,,,,
Hylomyscus_anselli,Arboreal,28.5,247,101,146,21,0.591093117,1.445544554,Carelton & Stanley 2005,,,,,,,,,,,
Hylomyscus_arcimontensis,Arboreal,29,240,100,140,22,0.583333333,1.4,Carelton & Stanley 2005,,,,,,,,,,,
Hylomyscus_baeri,Arboreal,31.8,234,105.9,128.1,21.8,0.547435897,1.209631728,Kingdon et al 2013,,,,,,,,,,,
Hylomyscus_denniae,Arboreal,32.995,235.8,98.3,139,20.7,0.589482612,1.414038657,"Kingdon et al 2013, Huhndorf et al. 2007",,,,,,,,,,,
Hylomyscus_grandis,General,33,236.8,96.8,140,20,0.591216216,1.446280992,Kingdon et al 2013,,,,,,,,,,,
Hylomyscus_parvus,General,13.945,155,60,95,14,0.612903226,1.583333333,Kingdon et al 2013,,,,,,,,,,,
Hylomyscus_stella,General,19.395,222,91.5,130.5,18,0.587837838,1.426229508,Kingdon et al 2013,,,,,,,,,,,
Hyomys_goliath,General,844.62,636.5,324.5,312,59.4,0.490180676,0.961479199,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Hyorhinomys_stuempkei,Terrestrial,235,403.5,193.5,210,53,0.520446097,1.085271318,Esselstyn et al 2015,,,,,,,,,,,
Kadarsanomys_sodyi,Arboreal,79.09,480,196,284,39.5,0.591666667,1.448979592,"Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Komodomys_rintjanus,Terrestrial,73.85,327.4,175.9,151.5,36.5,0.462736714,0.861284821,"Musser & Boaedi 1980, Nowak 1991, Wilman et al 2014",,,,,,,,,,,
Lamottemys_okuensis,Terrestrial,56,250.8,126,124.8,28.4,0.497607656,0.99047619,Kingdon et al 2013,,,,,,,,,,,
Leggadina_forresti,Terrestrial,21.94,176,104,72,19,0.409090909,0.692307692,"Strahan 1983,  Nowak 1991, Read 1984",,,,,,,,,,,
Leggadina_lakedownensis,Terrestrial,18.75,113,70,43,15,0.380530973,0.614285714,"Strahan 1983, Nowak 1991, Van Dyck and Strahan 2008",,,,,,,,,,,
Lemniscomys_barbarus,Terrestrial,30.625,223.3,100.8,122.5,24.5,0.548589342,1.215277778,Kingdon et al 2013,,,,,,,,,,,
Lemniscomys_bellieri,Terrestrial,36,221,109,112,25.4,0.50678733,1.027522936,"Kingdon et al 2013, Ziegler et al 2002",,,,,,,,,,,
Lemniscomys_macculus,Terrestrial,28.4,208.2,99.2,109,22.6,0.523535062,1.098790323,Kingdon et al 2013,,,,,,,,,,,
Lemniscomys_rosalia,Terrestrial,51.21,268.9,136.8,132.1,26.9,0.491260692,0.965643275,Kingdon et al 2013,,,,,,,,,,,
Lemniscomys_striatus,Terrestrial,42.225,247.1,114.3,132.8,27.1,0.537434237,1.161854768,Kingdon et al 2013,,,,,,,,,,,
Lemniscomys_zebra,Terrestrial,36.1,226,102,124,24.5,0.548672566,1.215686275,Kingdon et al 2013,,,,,,,,,,,
Lenomys_meyeri,General,325,530.625,264.125,266.5,47,0.502237927,1.008991955,"Flannery 1995b, Musser 2015, LSUMZ Specimens",,,,,,,,,,,
Lenothrix_canus,Arboreal,163.5,420,192.5,227.5,42,0.541666667,1.181818182,"Nowak 1991, Wells et al 2004,  Musser & Newcomb 1983, Francis and Barrett 2008",,,,,,,,,,,
Leopoldamys_edwardsi,General,325.91,546,246,300,48,0.549450549,1.219512195,"Lekagul and McNeely 1977, Nowak 1991, Smith and Xie 2013",,,,,,,,,,,
Leopoldamys_milleti,Terrestrial,336.38,570,245,325,50,0.570175439,1.326530612,"Francis and Barrett 2008, Wilman et al 2014",,,,,,,,,,,
Leopoldamys_neilli,Terrestrial,219,487,217,270,42,0.554414784,1.244239631,"Lekagul and McNeely 1977, Francis and Barrett 2008, ",,,,,,,,,,,
Leopoldamys_sabanus,General,347.705,584.6,234.5,350.1,46.7,0.598871023,1.492963753,"Lekagul and McNeely 1977,  Nowak 1991, Pimsai et al 2014",,,,,,,,,,,
Leporillus_conditor,General,339.41,375,197,178,44,0.474666667,0.903553299,"Strahan 1983, Ryan et al 2003, IUCN 2017",,,,,,,,,,,
Leptomys_elegans,Terrestrial,85.46,299.4,151.8,147.6,38.5,0.492985972,0.972332016,Flannery 1995a,,,,,,,,,,,
Limnomys_bryophilus,Terrestrial,64.1,300,130,170,32.6,0.566666667,1.307692308,Rickart et al 2003,,,,,,,,,,,
Limnomys_sibuanus,General,64.3,283.5,127,156.5,29.5,0.552028219,1.232283465,"Nowak 1991, Musser & Heaney 1992",,,,,,,,,,,
Lorentzimys_nouhuysi,Arboreal,14.97,186.6,74.2,112.4,18.6,0.602357985,1.514824798,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Macruromys_major,Terrestrial,353.625,568.3,240.8,327.5,52.7,0.576280134,1.360049834,"Flannery 1995a, Nowak 1991",,,,,,,,,,,
Malacomys_cansdalei,Amphibious,81.7,340,144,196,42.7,0.576470588,1.361111111,Kingdon et al 2013,,,,,,,,,,,
Malacomys_edwardsi,Amphibious,61.39,301,133,168,33,0.558139535,1.263157895,Kingdon et al 2013,,,,,,,,,,,
