Geographic Region,Subfamily,Tribe,Division,Genus,Species,Genus species,Extinct/TAXONOMY,Notes Specimen Taxonomy,Exome
SAHUL,Murinae,Hydromyini,Pogonomys,Lorentzimys,nouhuysi,Lorentzimys nouhuysi,MULTI-TAXON,,1
SAHUL,Murinae,Hydromyini,Uromys,Melomys,burtoni,Melomys burtoni,MULTI-TAXON,,
SAHUL,Murinae,Hydromyini,Pseudomys,Pseudomys,gouldii,Pseudomys gouldii,SYNONYMISED WITH FIELDI,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,newbritain_spA,Melomys newbritain_spA,UNDESCRIBED,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,newbritain_spB,Melomys newbritain_spB,UNDESCRIBED,,
SAHUL,Murinae,Hydromyini,Pogonomys,Notapogonomys,yesitis,Notapogonomys yesitis,UNDESCRIBED,,
SAHUL,Murinae,Rattini,Rattus,Rattus,sordidus_group_sp,Rattus sordidus_group_sp,UNDESCRIBED,,
SAHUL,Murinae,Hydromyini,Uromys,Uromys,sp_nov_Malukus,Uromys sp-nov,UNDESCRIBED,New Speceis from PH Fabre; changed to match tree,1
SAHUL,Murinae,Hydromyini,Mallomys,Abeomelomys,sevia,Abeomelomys sevia,,,1
SAHUL,Murinae,Hydromyini,Pogonomys,Anisomys,imitator,Anisomys imitator,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Baiyankamys,shawmayeri,Baiyankamys shawmayeri,,,
SAHUL,Murinae,Hydromyini,incertae sedis,Brassomys,albidens,Brassomys albidens,,,
SUNDA,Murinae,Hydromyini,Chiropodomys,Chiropodomys,gliroides,Chiropodomys gliroides,,,1
SUNDA,Murinae,Hydromyini,Chiropodomys,Chiropodomys,karlkoopmani,Chiropodomys karlkoopmani,,,
SUNDA,Murinae,Hydromyini,Chiropodomys,Chiropodomys,muroides,Chiropodomys muroides,,,
SAHUL,Murinae,Hydromyini,Pogonomys,Chiruromys,forbesi,Chiruromys forbesi,,Check joraindi,
SAHUL,Murinae,Hydromyini,Pogonomys,Chiruromys,lamia,Chiruromys lamia,,,
SAHUL,Murinae,Hydromyini,Pogonomys,Chiruromys,vates,Chiruromys vates,,,1
SAHUL,Murinae,Hydromyini,incertae sedis,Coccymys,ruemmleri,Coccymys ruemmleri,,,1
SAHUL,Murinae,Hydromyini,incertae sedis,Coccymys,shawmayeri,Coccymys shawmayeri,,Sample mis-ID'd as C. ruemmleri (corrected by Helgen),
SAHUL,Murinae,Hydromyini,Conilurus,Conilurus,penicillatus,Conilurus penicillatus,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Crossomys,moncktoni,Crossomys moncktoni,,,1
ASIA,Murinae,Hapalomyini,Hapalomys,Hapalomys,delacouri,Hapalomys delacouri,,,
SAHUL,Murinae,Hydromyini,Hydromys,Hydromys,chrysogaster,Hydromys chrysogaster,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Hydromys,hussoni,Hydromys hussoni,,,
SAHUL,Murinae,Hydromyini,Pogonomys,Hyomys,dammermani,Hyomys dammermani,,,
SAHUL,Murinae,Hydromyini,Pogonomys,Hyomys,goliath,Hyomys goliath,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Leggadina,forresti,Leggadina forresti,,,1
SAHUL,Murinae,Hydromyini,Pseudomys,Leggadina,lakedownensis,Leggadina lakedownensis,,,1
SAHUL,Murinae,Hydromyini,Conilurus,Leporillus,conditor,Leporillus conditor,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Leptomys,elegans,Leptomys elegans,,,1
SAHUL,Murinae,Hydromyini,Hydromys,Leptomys,ernstmayri,Leptomys ernstmayri,,,
SAHUL,Murinae,Hydromyini,Pogonomys,Macruromys,major,Macruromys major,,,1
SAHUL,Murinae,Hydromyini,Mallomys,Mallomys,aroaensis,Mallomys aroaensis,,,
SAHUL,Murinae,Hydromyini,Mallomys,Mallomys,istapantap,Mallomys istapantap,,,
SAHUL,Murinae,Hydromyini,Mallomys,Mallomys,rothschildi,Mallomys rothschildi,,,1
SAHUL,Murinae,Hydromyini,Mallomys,Mammelomys,lanosus,Mammelomys lanosus,,,1
SAHUL,Murinae,Hydromyini,Mallomys,Mammelomys,rattoides,Mammelomys rattoides,,,
SAHUL,Murinae,Hydromyini,Pseudomys,Mastacomys,fuscus,Mastacomys fuscus,,,1
SAHUL,Murinae,Hydromyini,Uromys,Melomys,bannisteri,Melomys bannisteri,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,capensis,Melomys capensis,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,fraterculus,Melomys fraterculus,,,
SAHUL,Murinae,Hydromyini,Uromys,Melomys,fulgens,Melomys fulgens,,,
