"tp"	"num.genes.c"	"num_genes_d1"	"num_genes_d2"	"num.genes.m"	"c.avg.block.size"	"c.avg.block.count"	"c.num.blocks"	"d1.avg.block.size"	"d1.avg.block.count"	"d1.num.blocks"	"d2.avg.block.size"	"d2.avg.block.count"	"d2.num.blocks"	"m.avg.block.size"	"m.avg.block.count"	"m.num.blocks"
"<175>"	6154	472	464	4292	464364.264442052	1.20667384284177	2787	194072.028384279	0.0327510917030568	458	236374.261958998	0.0569476082004556	439	340315.013677812	0.631838905775076	2632
"<176>"	7997	151	155	3079	696797.922170804	2.36390408077408	2377	233330.408163265	0.0272108843537415	147	257798.322368421	0.0197368421052632	152	289863.248223801	0.367673179396092	2252
"<177>"	5233	89	110	5950	364715.972737186	0.90185387131952	2751	165328.730337079	0	89	178173.376146789	0.00917431192660551	109	487523.31098224	1.15694092062341	2759
"<178>"	2359	1143	1090	6790	237364.868392665	0.272384034519957	1854	213599.176587302	0.133928571428571	1008	223868.510141988	0.105476673427992	986	559179.221974759	1.52041573867854	2694
"<179>"	2794	1249	1370	5969	261121.990860991	0.344877344877345	2079	242175.77748227	0.106382978723404	1128	229798.766666667	0.1425	1200	463295.116654702	1.14178033022254	2786
"<18>"	1714	678	718	8272	271179.164315938	0.208744710860367	1418	245098.422893482	0.0779014308426073	629	256175.947526237	0.0749625187406297	667	756318.847649186	2.74005424954792	2212
"<180>"	6410	28	35	4909	473218.896842878	1.35389133627019	2724	261568.321428571	0	28	189140.057142857	0	35	397772.115327929	0.808032424465733	2714
"<181>"	4096	802	874	5610	335482.933565083	0.582078022402472	2589	227239.199733688	0.066577896138482	751	215837.267166042	0.0911360799001248	801	411401.759578207	0.972231985940246	2845
"<182>"	4117	195	223	6847	373656.239649682	0.63734076433121	2512	192702.166666667	0.015625	192	191007.242009132	0.0182648401826484	219	512614.245212167	1.57266241081487	2663
"<183>"	2379	885	1337	6781	268452.37567861	0.291530944625407	1842	222237.382425743	0.0952970297029703	808	251362.887082977	0.14114627887083	1169	520281.46929018	1.49503493931593	2719
"<184>"	4297	748	690	5647	349947.513523666	0.61419984973704	2662	186256.547788873	0.0670470756062767	701	209905.785932722	0.0565749235474006	654	417480.983062809	0.992237120677488	2834
"<185>"	5962	140	144	5136	443680.321060383	1.19550810014728	2716	287417.138686131	0.0218978102189781	137	159074.521428571	0.0285714285714286	140	413435.819933309	0.902556502408299	2699
"<19>"	1364	442	664	8912	263955.529163145	0.153846153846154	1183	234032.403800475	0.0475059382422803	421	243656.283413849	0.07085346215781	621	948644.099009901	3.64356435643564	1919
"<2>"	7660	113	52	3557	692731.384108687	2.15397282832441	2429	148611.394736842	0	114	277984.480769231	0	52	283745.410441426	0.508913412563667	2356
"<20>"	2900	431	398	7653	282659.664150943	0.368396226415094	2120	220098.501210654	0.0411622276029056	413	206176.795811518	0.0392670157068063	382	649877.932339911	2.08256141763995	2483
"<21>"	5140	59	57	6126	388763.901867448	0.882094470889784	2731	158486.542372881	0	59	164025.410714286	0.0178571428571429	56	477206.033711982	1.24477830707219	2729
"<22>"	3910	291	257	6924	328546.698809524	0.551587301587302	2520	164510.605633803	0.028169014084507	284	233583.16064257	0.0321285140562249	249	545830.086972892	1.60655120481928	2656
"<23>"	1455	306	330	9291	303699.186751796	0.16121308858739	1253	220552.291525424	0.0406779661016949	295	217175.43081761	0.0377358490566038	318	1110514.75445898	4.52318668252081	1682
"<24>"	1171	934	890	8387	219123.867239733	0.115568290353391	1047	209381.488810365	0.102473498233216	849	207833.767790262	0.112359550561798	801	835897.962107209	2.87569316081331	2164
"<25>"	1582	409	322	9069	238918.712166172	0.17433234421365	1348	238817.473282443	0.0432569974554707	393	193114.378980892	0.0254777070063694	314	1045523.86450905	3.973669775096	1823
"<26>"	912	759	686	9025	241809.234299517	0.102657004830918	828	238322.135211268	0.0704225352112676	710	201088.567233385	0.0633693972179289	647	1008577.68934119	3.831815747188	1867
"<27>"	6024	148	266	4944	451443.467491166	1.12756183745583	2830	280879.465277778	0.0208333333333333	144	202043.306818182	0.0113636363636364	264	363601.050701187	0.778856526429342	2781
"<28>"	2815	500	474	7593	271993.132883967	0.35387578237843	2077	169553.353191489	0.0659574468085106	470	229508.057395143	0.0507726269315673	453	669380.847193773	2.11061040557149	2441
"<29>"	3936	146	115	7185	308927.356973059	0.561806656101426	2524	233001.626760563	0.028169014084507	142	209189.052631579	0.0087719298245614	114	592064.028724627	1.74952125622367	2611
"<3>"	8339	165	156	2722	808136.096788991	2.8256880733945	2180	245101.296296296	0.0185185185185185	162	226347.901315789	0.0263157894736842	152	273212.208395802	0.359820089955023	2001
"<30>"	1646	267	296	9173	255044.075090253	0.189169675090253	1385	239621.496124031	0.0310077519379845	258	262781.079861111	0.0277777777777778	288	1064008.02587177	4.15916760404949	1778
"<31>"	948	367	479	9588	263285.903488372	0.0988372093023256	860	241967.266081871	0.0701754385964912	342	266265.030701754	0.0548245614035088	456	1308277.53016086	5.42761394101877	1492
"<32>"	1171	102	24	10085	295693.291505791	0.13030888030888	1036	274350.475247525	0.0099009900990099	101	252464	0.0434782608695652	23	1798143.74207746	7.87764084507042	1136
"<33>"	1196	337	388	9461	252460.419324578	0.122889305816135	1066	267158.725	0.05	320	244266.093085106	0.0319148936170213	376	1224597.06578115	4.98418722327641	1581
"<34>"	862	254	587	9679	280029.730038023	0.0925221799746515	789	210966.222672065	0.0283400809716599	247	228853.682395644	0.0653357531760436	551	1347415.16168478	5.57540760869565	1472
"<35>"	418	569	760	9635	276081.19201995	0.0399002493765586	401	251099.910305344	0.0858778625954199	524	231688.031029619	0.0719322990126939	709	1352494.10403833	5.59548254620123	1461
"<36>"	1317	328	422	9315	270651.31227758	0.171708185053381	1124	255528.282539683	0.0412698412698413	315	222354.068292683	0.0292682926829268	410	1148600.57771084	4.61144578313253	1660
"<37>"	4032	106	72	7172	357102.719305172	0.591788393209633	2533	258244.273584906	0	106	205787.777777778	0	72	556085.906274206	1.77769171185128	2582
"<38>"	2771	409	984	7218	292227.190313112	0.357632093933464	2044	185768.593264249	0.0569948186528497	386	234530.36031927	0.122006841505131	877	580386.232101617	1.77713625866051	2598
"<39>"	5676	266	195	5245	429416.602998929	1.02677615137451	2801	233069.380769231	0.0230769230769231	260	244890.010638298	0.0372340425531915	188	391646.841240876	0.913868613138686	2740
"<4>"	6915	413	375	3679	556352.212798183	1.61946232487694	2641	196138.246882793	0.029925187032419	401	202887.509859155	0.0535211267605634	355	317065.660706861	0.528898128898129	2405
"<40>"	5137	24	38	6183	448015.37611276	0.904673590504451	2696	255433.416666667	0	24	367088.972972973	0	37	426980.947504621	1.28687615526802	2705
"<41>"	7103	73	67	4139	572824.469865643	1.72667946257198	2605	169793.013888889	0.0138888888888889	72	241775.029850746	0	67	335244.590820692	0.609879424348503	2571
"<42>"	6569	151	111	4551	529656.695747801	1.408357771261	2728	261961.293333333	0.00666666666666667	150	264689.290909091	0.00909090909090909	110	324703.82106836	0.699663802764288	2677
"<43>"	6227	300	340	4515	505072.065491184	1.24145376034545	2779	208413.53559322	0.0169491525423729	295	218722.907185629	0.0149700598802395	334	314727.878121506	0.682445024226612	2683
"<44>"	3745	1299	1419	4919	320850.635084816	0.549855192387257	2417	266123.611650485	0.146513680494263	1133	259338.136251032	0.172584640792733	1211	363709.864636831	0.803741746148202	2726
"<45>"	4575	642	722	5443	385552.31375521	0.733232284956423	2639	194990.660098522	0.0591133004926108	609	175295.485967504	0.0649926144756278	677	401013.050853485	0.935277382645804	2812
"<46>"	7351	180	164	3687	596653.776061776	1.83745173745174	2590	214429.747191011	0.0112359550561798	178	219863.920731707	0	164	308526.547917509	0.491710473109583	2473
"<47>"	4919	914	905	4644	369592.942857143	0.779385171790235	2765	239025.48156956	0.0868014268727705	841	231136.075178998	0.0799522673031026	838	351367.283739542	0.688977810112768	2749
"<48>"	6993	183	135	4071	544836.185226429	1.59539717891611	2694	179128.41011236	0.0224719101123595	178	193345.463235294	0	136	327562.939961759	0.55717017208413	2615
"<49>"	3636	1565	1691	4490	337133.566820276	0.522832006702974	2387	222376.922791388	0.163325909428359	1347	233969.837307153	0.186535764375877	1426	350510.235250464	0.66530612244898	2695
"<5>"	7203	768	825	2586	596607.839334108	1.78861788617886	2583	254504.326359833	0.0753138075313808	717	194165.248062016	0.0671834625322997	774	258771.138351984	0.313326551373347	1966
"<50>"	2155	770	655	7802	289891.23480826	0.269026548672566	1695	284300.796322489	0.0905233380480905	707	267371.163934426	0.0721311475409836	610	641631.468487395	2.27983193277311	2380
"<51>"	1932	1141	1911	6398	326355.669216061	0.230720203951562	1569	219446.034046693	0.110894941634241	1028	297246.525062657	0.196741854636591	1596	427657.138838144	1.33796127146511	2737
"<52>"	4934	163	175	6110	409830.202857143	0.7625	2800	221136.635802469	0.0123456790123457	162	214387.310344828	0.0114942528735632	174	409261.541387813	1.15110954561465	2839
"<53>"	2473	528	550	7831	284113.011518325	0.293193717277487	1910	201102.279527559	0.0393700787401575	508	205885.188571429	0.0476190476190476	525	667338.278869779	2.20802620802621	2442
"<54>"	5980	73	59	5270	501880.976618705	1.15035971223022	2780	237076.154929577	0.0140845070422535	71	198981.779661017	0	59	347622.974619289	0.911892675852067	2758
"<55>"	1242	1042	986	8112	266652.358715596	0.136697247706422	1090	279051.952978056	0.0867293625914316	957	296434.833522084	0.117780294450736	883	674909.267271157	2.50431778929188	2316
"<56>"	1430	779	587	8586	281550.297493937	0.156022635408246	1237	223389.085753804	0.0774550484094053	723	170939.5433213	0.055956678700361	554	847097.22582182	3.09147212958552	2099
"<57>"	5903	105	106	5268	467680.208214286	1.10714285714286	2800	166559.19047619	0	105	175490.913461538	0.0192307692307692	104	371260.292770222	0.886542591267001	2794
"<58>"	7686	100	100	3496	657830.209856263	2.15728952772074	2435	171069.285714286	0.0102040816326531	98	197363.919191919	0	99	316641.953211399	0.487026797107614	2351
"<59>"	3541	105	120	7616	351959.473172793	0.495986480777355	2367	380420.572815534	0.0194174757281553	103	230903.974358974	0.0256410256410256	117	604178.596334012	2.10224032586558	2455
