# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<91>	0.584	5073.0	0.104	906.0	0.107	928.0	0.204	1775.0	8682.0	3101.0	0.514	15600.0	0.242	7333.31	0.244	7374.02	30307.33	100	0.584/0.515	0.0032585600
<116>	0.776	8261.0	0.015	157.0	0.016	171.0	0.193	2059.0	10648.0	1135.0	0.775	31405.86	0.114	4601.97	0.111	4448.51	40456.34	100	0.776/0.778	0.0092527700
<117>	0.268	1631.0	0.073	445.0	0.075	458.0	0.584	3562.0	6096.0	5687.0	0.552	3975.4	0.23	1670.65	0.218	1590.91	7236.96	100	0.268/0.537	0.0008433940
<118>	0.16	1709.0	0.026	278.0	0.028	300.0	0.786	8421.0	10708.0	1075.0	0.463	6026.56	0.275	3778.12	0.262	3612.03	13416.71	100	0.16/0.455	0.0010140800
<66>	0.311	1211.0	0.026	103.0	0.006	24.0	0.657	2561.0	3899.0	7884.0	0.441	3643.11	0.369	3066.81	0.189	1545.74	8255.66	100	0.311/0.446	0.0029073500
<119>	0.491	4642.0	0.073	688.0	0.08	755.0	0.356	3363.0	9448.0	2335.0	0.463	17020.15	0.251	9275.39	0.286	10599.24	36894.78	100	0.491/0.466	0.0028233900
<18>	0.802	7534.0	0.02	190.0	0.018	166.0	0.16	1504.0	9394.0	2389.0	0.782	33496.52	0.114	4887.16	0.103	4452.21	42835.89	100	0.802/0.785	0.0075862400
<121>	0.25	2356.0	0.108	1016.0	0.091	858.0	0.551	5199.0	9429.0	2354.0	0.428	8317.11	0.3	5840.73	0.272	5323.46	19481.3	100	0.25/0.427	0.0010199100
<122>	0.433	3986.0	0.052	476.0	0.051	468.0	0.464	4275.0	9205.0	2578.0	0.557	12766.55	0.213	4899.6	0.23	5262.26	22928.41	100	0.433/0.562	0.0026215800
<105>	0.657	6271.0	0.007	71.0	0.006	59.0	0.33	3149.0	9550.0	2233.0	0.732	22378.36	0.137	4199.0	0.131	3983.98	30561.34	100	0.657/0.732	0.0067695500
<125>	0.1	917.0	0.037	336.0	0.113	1036.0	0.75	6882.0	9171.0	2612.0	0.315	11096.44	0.372	13148.05	0.313	11056.6	35301.09	100	0.1/0.315	0.0003305520
<127>	0.736	6196.0	0.011	93.0	0.013	112.0	0.239	2012.0	8413.0	3370.0	0.645	33504.0	0.177	9160.94	0.178	9157.8	51822.74	100	0.736/0.646	0.0103020000
<47>	0.937	8049.0	0.002	17.0	0.001	9.0	0.06	511.0	8586.0	3197.0	0.958	82803.26	0.021	1838.18	0.021	1793.74	86435.18	100	0.937/0.957	0.0262002000
<128>	0.259	2534.0	0.032	310.0	0.056	546.0	0.654	6403.0	9793.0	1990.0	0.4	18587.5	0.303	14111.78	0.297	13824.16	46523.44	100	0.259/0.399	0.0019365100
<129>	0.533	5521.0	0.08	827.0	0.069	715.0	0.318	3289.0	10352.0	1431.0	0.483	17535.69	0.257	9238.51	0.26	9410.95	36185.15	100	0.533/0.484	0.0037315400
<90>	0.689	6902.0	0.061	608.0	0.054	544.0	0.196	1966.0	10020.0	1763.0	0.583	24683.67	0.209	8844.85	0.208	8831.93	42360.45	100	0.689/0.583	0.0057215000
