# Gene concordance factor statistics
# ID:        Branch ID in the species tree
# gCF:       Gene concordance factor (=gCF_N/gN)
# gCF_N:     The number of trees concordant with this branch
# gDF1:      Gene discordance factor for NNI-1 (=gDF1_N/gN)
# gDF1_N:    Number of trees concordant with NNI-1 topology
# gDF2:      Gene discordance factor for NNI-2 (=gDF2_N/gN)
# gDF2_N:    Number of trees concordant with NNI-2 topology
# gDFP:      Gene discordance factor due to polyphyly (=gDFP_N/gN)
# gDFP_N:    Number of trees decisive but discordant due to polyphyly
# gN:         The number of trees decisive for this branch
# gM:         The number of trees with one or more groups missing from this branch
# sCF:       Site concordance factor averaged over qN quartets (=sCF_N/sN)
# sCF_N:     sCF in absolute number of sites
# sDF1:      Site discordance factor for alternative quartet 1 (=sDF1_N/sN)
# sDF1_N:    sDF1 in absolute number of sites
# sDF2:      Site discordance factor for alternative quartet 2 (=sDF2_N/sN)
# sDF2_N:    sDF2 in absolute number of sites
# sN:        Number of decisive sites averaged over 100 quartets
# qN:        Number of quartets sampled with at least 1 decisive site on this branch
# label:     The label in the original species tree string
# length:    The branch length in the original species tree string
# NOTE: (gCF+gDF1+gDF2+gDFP) = 1.0 and (gCF_N+gDF1_N+gDF2_N+gDFP_N) = N
# NOTE: (N+M) = total number of trees
ID	gCF	gCF_N	gDF1	gDF1_N	gDF2	gDF2_N	gDFP	gDFP_N	gN	gM	sCF	sCF_N	sDF1	sDF1_N	sDF2	sDF2_N	sN	label	length
<18>	0.802	7535.0	0.02	190.0	0.018	166.0	0.16	1502.0	9393.0	2303.0	0.784	34645.77	0.113	4984.08	0.103	4573.11	44202.96	100	0.802	0.0075862400
<103>	0.251	2368.0	0.109	1028.0	0.092	866.0	0.548	5167.0	9429.0	2267.0	0.428	8148.99	0.304	5792.66	0.268	5159.16	19100.81	100	0.25	0.0010199100
<107>	0.1	917.0	0.037	337.0	0.113	1037.0	0.75	6880.0	9171.0	2525.0	0.317	11273.32	0.367	13101.63	0.316	11287.13	35662.08	100	0.1	0.0003305520
<109>	0.741	6231.0	0.012	103.0	0.014	116.0	0.233	1954.0	8404.0	3292.0	0.65	35061.02	0.176	9502.39	0.174	9375.03	53938.44	100	0.736	0.0103020000
<42>	0.938	8045.0	0.002	18.0	0.001	10.0	0.059	506.0	8579.0	3117.0	0.956	79894.75	0.022	1806.55	0.022	1806.03	83507.33	100	0.937	0.0262002000
<110>	0.259	2540.0	0.032	313.0	0.056	551.0	0.652	6388.0	9792.0	1904.0	0.402	19091.88	0.3	14322.82	0.298	14233.72	47648.42	100	0.259	0.0019365100
<111>	0.55	5128.0	0.081	756.0	0.074	686.0	0.295	2752.0	9322.0	2374.0	0.49	19812.56	0.251	10106.85	0.258	10431.27	40350.68	100	0.533	0.0037315400
<78>	0.692	6919.0	0.063	631.0	0.056	561.0	0.189	1890.0	10001.0	1695.0	0.58	26357.8	0.209	9472.95	0.211	9548.47	45379.22	100	0.689	0.0057215000
<49>	0.928	8020.0	0.007	64.0	0.007	63.0	0.057	494.0	8641.0	3055.0	0.874	69157.0	0.059	4621.52	0.068	5271.21	79049.73	100	0.928	0.0243531000
<112>	0.368	2488.0	0.175	1187.0	0.174	1175.0	0.284	1920.0	6770.0	4926.0	0.409	15225.96	0.302	11269.34	0.289	10737.07	37232.37	100	0.363	0.0023043300
<113>	0.423	3984.0	0.082	772.0	0.052	485.0	0.443	4172.0	9413.0	2283.0	0.493	5488.79	0.323	3572.73	0.184	2073.56	11135.08	100	0.421	0.0018255300
<114>	0.099	897.0	0.03	274.0	0.07	634.0	0.801	7250.0	9055.0	2641.0	0.395	7046.01	0.288	5102.81	0.317	5415.78	17564.6	100	0.097	0.0004774530
<115>	0.508	5039.0	0.094	929.0	0.094	933.0	0.304	3009.0	9910.0	1786.0	0.48	18757.84	0.237	9328.77	0.283	11205.3	39291.91	100	0.509	0.0030758500
<116>	0.21	1919.0	0.07	639.0	0.083	759.0	0.636	5808.0	9125.0	2571.0	0.401	7914.25	0.298	5934.06	0.302	5961.9	19810.21	100	0.209	0.0009809420
<118>	0.311	3401.0	0.03	325.0	0.036	389.0	0.623	6807.0	10922.0	774.0	0.4	18978.71	0.286	13521.68	0.314	14874.38	47374.77	100	0.309	0.0023441200
<119>	0.182	1816.0	0.037	375.0	0.046	458.0	0.735	7353.0	10002.0	1694.0	0.393	16624.72	0.293	12423.34	0.315	13362.38	42410.44	100	0.18	0.0012433200
<121>	0.385	2946.0	0.169	1289.0	0.188	1439.0	0.258	1973.0	7647.0	4049.0	0.39	16878.38	0.292	12700.79	0.318	13695.69	43274.86	100	0.378	0.0025814200
<6>	0.573	5187.0	0.03	271.0	0.031	284.0	0.365	3305.0	9047.0	2649.0	0.634	12331.7	0.193	3702.6	0.173	3438.15	19472.45	100	0.569	0.0032529100
<122>	0.426	4261.0	0.038	378.0	0.041	407.0	0.496	4966.0	10012.0	1684.0	0.558	9138.01	0.261	3981.93	0.182	2860.93	15980.87	100	0.422	0.0024961400
<123>	0.051	428.0	0.07	590.0	0.097	813.0	0.781	6545.0	8376.0	3320.0	0.368	6841.78	0.332	6138.82	0.3	5401.52	18382.12	100	0.05	0.0001675370
<62>	0.27	2661.0	0.038	377.0	0.03	295.0	0.662	6514.0	9847.0	1849.0	0.446	10525.3	0.289	6806.72	0.265	6301.53	23633.55	100	0.268	0.0017265600
<125>	0.199	1969.0	0.024	242.0	0.042	418.0	0.734	7256.0	9885.0	1811.0	0.442	10142.88	0.256	5899.43	0.302	6971.64	23013.95	100	0.198	0.0015968800
<126>	0.156	1771.0	0.045	512.0	0.04	450.0	0.76	8644.0	11377.0	319.0	0.369	15732.34	0.309	13210.09	0.322	13744.07	42686.5	100	0.154	0.0012101200
<96>	0.399	4071.0	0.023	231.0	0.025	252.0	0.553	5644.0	10198.0	1498.0	0.428	19579.27	0.283	12854.67	0.289	13221.65	45655.59	100	0.391	0.0031237700
<120>	0.868	9826.0	0.002	20.0	0.002	20.0	0.129	1456.0	11322.0	374.0	0.78	72679.5	0.109	10151.67	0.11	10244.59	93075.76	100	0.86	0.0262471000
<127>	0.853	6701.0	0.004	28.0	0.006	46.0	0.137	1080.0	7855.0	3841.0	0.739	59829.63	0.13	10535.32	0.132	10696.18	81061.13	100	0.844	0.0237327000
<128>	0.223	1804.0	0.09	731.0	0.096	777.0	0.591	4784.0	8096.0	3600.0	0.417	7343.51	0.29	5033.61	0.293	5109.14	17486.26	100	0.218	0.0011641900
<129>	0.157	1358.0	0.04	345.0	0.051	446.0	0.752	6522.0	8671.0	3025.0	0.404	8141.99	0.308	6219.84	0.288	5608.05	19969.88	100	0.155	0.0009855000
